LOAD_ZONE	TIMEPOINT	lz_demand_mw
01-hermosillo	1	716.6572145
01-hermosillo	2	900.7855594
01-hermosillo	3	751.1132635
01-hermosillo	4	765.2282444
02-cananea	1	183.5159448
02-cananea	2	230.6660836
02-cananea	3	196.0012548
02-cananea	4	199.6845261

