TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	DispatchTrans
22-tepic	06-mazatlan	1	0.0
08-moctezuma	02-cananea	1	150.0
29-lazaro_cardenas	26-salamanca	2	0.0
38-tabasco	41-lerma	2	682.49564362
28-carapan	23-guadalajara	4	0.0
46-tijuana	47-ensenada	2	287.79368528
02-cananea	08-moctezuma	4	0.0
32-poza_rica	33-veracruz	3	0.0
13-nuevo_laredo	12-rio_escondido	4	0.0
20-tamazunchale	31-central	3	486.0779558
09-chihuahua	11-laguna	1	0.0
26-salamanca	28-carapan	2	0.0
36-temascal	33-veracruz	2	0.0
26-salamanca	24-aguascalientes	1	382.4466983
09-chihuahua	08-moctezuma	1	0.0
05-culiacan	06-mazatlan	4	0.0
26-salamanca	29-lazaro_cardenas	2	0.0
36-temascal	37-coatzacoalcos	4	0.0
42-merida	44-chetumal	2	0.0
38-tabasco	39-grijalva	4	41.83072984
20-tamazunchale	30-queretaro	1	0.0
23-guadalajara	22-tepic	3	1047.4305085
48-mexicali	47-ensenada	3	0.0
42-merida	41-lerma	4	0.0
17-saltillo	16-monterrey	4	1380.0
37-coatzacoalcos	39-grijalva	2	6.38516609999999
25-san_luis_potosi	24-aguascalientes	2	0.0
16-monterrey	12-rio_escondido	1	287.9097836
15-matamoros	14-reynosa	1	0.0
33-veracruz	36-temascal	4	0.0
49-san_luis_rio_colorado	48-mexicali	4	0.0
18-valles	19-huasteca	1	0.0
28-carapan	26-salamanca	2	0.0
24-aguascalientes	17-saltillo	2	0.0
17-saltillo	24-aguascalientes	3	0.0
01-hermosillo	02-cananea	3	0.0
14-reynosa	15-matamoros	3	234.1699753
02-cananea	01-hermosillo	2	16.1100087
08-moctezuma	09-chihuahua	4	62.6965992999999
26-salamanca	30-queretaro	4	0.0
08-moctezuma	07-juarez	2	0.0
30-queretaro	25-san_luis_potosi	3	836.2897721
19-huasteca	18-valles	2	0.0
43-cancun	42-merida	2	0.0
11-laguna	17-saltillo	4	1050.0
41-lerma	44-chetumal	2	195.01620222
34-puebla	33-veracruz	1	351.1993251
11-laguna	09-chihuahua	3	700.0
34-puebla	31-central	4	500.0
24-aguascalientes	26-salamanca	4	0.0
23-guadalajara	28-carapan	2	408.8479963
24-aguascalientes	23-guadalajara	1	0.0
27-manzanillo	23-guadalajara	3	0.0
35-acapulco	29-lazaro_cardenas	3	495.9373944
47-ensenada	46-tijuana	3	0.0
31-central	29-lazaro_cardenas	4	0.0
31-central	32-poza_rica	3	0.0
04-los_mochis	05-culiacan	1	0.0
28-carapan	23-guadalajara	3	0.0
36-temascal	34-puebla	4	3000.0
16-monterrey	17-saltillo	1	0.0
23-guadalajara	27-manzanillo	4	301.5387881
32-poza_rica	31-central	1	0.0
20-tamazunchale	31-central	4	481.0732514
48-mexicali	49-san_luis_rio_colorado	3	105.6531307
37-coatzacoalcos	36-temascal	3	0.0
36-temascal	37-coatzacoalcos	1	0.0
14-reynosa	16-monterrey	2	0.0
29-lazaro_cardenas	26-salamanca	3	0.0
38-tabasco	41-lerma	1	656.91017414
46-tijuana	47-ensenada	3	287.79368528
30-queretaro	31-central	1	310.0
35-acapulco	29-lazaro_cardenas	2	0.0
17-saltillo	11-laguna	1	0.0
32-poza_rica	33-veracruz	2	0.0
25-san_luis_potosi	30-queretaro	1	0.0
05-culiacan	04-los_mochis	1	473.9332855
31-central	26-salamanca	3	0.0
03-obregon	04-los_mochis	1	0.0
26-salamanca	28-carapan	3	54.0
29-lazaro_cardenas	31-central	2	0.0
44-chetumal	41-lerma	3	0.0
16-monterrey	14-reynosa	3	751.3456651
16-monterrey	19-huasteca	1	0.0
26-salamanca	29-lazaro_cardenas	3	0.0
42-merida	44-chetumal	3	0.0
48-mexicali	49-san_luis_rio_colorado	2	109.8378253
48-mexicali	47-ensenada	2	0.0
29-lazaro_cardenas	28-carapan	3	0.0
19-huasteca	16-monterrey	2	629.6566288
30-queretaro	20-tamazunchale	2	0.0
14-reynosa	15-matamoros	4	244.4572864
11-laguna	10-durango	2	0.0
35-acapulco	34-puebla	1	0.0
08-moctezuma	09-chihuahua	3	150.1152882
24-aguascalientes	25-san_luis_potosi	3	0.0
31-central	30-queretaro	1	0.0
32-poza_rica	19-huasteca	4	0.0
35-acapulco	36-temascal	1	0.0
10-durango	11-laguna	2	592.69112
28-carapan	26-salamanca	3	0.0
48-mexicali	46-tijuana	4	0.0
24-aguascalientes	17-saltillo	3	0.0
34-puebla	31-central	3	0.0
32-poza_rica	34-puebla	2	0.0
04-los_mochis	03-obregon	3	286.9650095
12-rio_escondido	13-nuevo_laredo	4	100.0
27-manzanillo	23-guadalajara	4	0.0
02-cananea	01-hermosillo	3	0.0
49-san_luis_rio_colorado	48-mexicali	3	0.0
06-mazatlan	22-tepic	2	0.0
28-carapan	29-lazaro_cardenas	4	0.0
43-cancun	42-merida	3	0.0
44-chetumal	42-merida	1	140.3859016
23-guadalajara	26-salamanca	1	700.0
36-temascal	35-acapulco	4	356.3313546
13-nuevo_laredo	14-reynosa	1	0.0
11-laguna	09-chihuahua	2	695.0798839
09-chihuahua	12-rio_escondido	2	0.0
36-temascal	39-grijalva	1	275.8166078
07-juarez	08-moctezuma	3	507.042203
23-guadalajara	28-carapan	1	298.115506799999
49-san_luis_rio_colorado	48-mexicali	1	0.0
35-acapulco	29-lazaro_cardenas	4	0.0
36-temascal	33-veracruz	3	0.0
04-los_mochis	05-culiacan	2	0.0
