load_zone	timestamp	LZ_NetDispatch	LZ_TXNet	lz_demand_mw	DumpPower
33-veracruz	20190215	0.0	363.5472896	363.5472896	-0.0
33-veracruz	20210128	0.0	396.8835563	396.8835563	-0.0
33-veracruz	20230215	0.0	404.1806979999999	404.180698	-0.0
05-culiacan	20160128	0.0	250.92641419999995	250.9264142	-0.0
05-culiacan	20190215	0.0	249.19419199999993	249.194192	-0.0
05-culiacan	20210128	0.0	274.0024341999999	274.0024342	-1.13686837721616e-13
05-culiacan	20230215	0.0	289.08714840000005	289.0871484	-0.0
29-lazaro_cardenas	20160128	0.0	405.63925179999944	405.6392518	-0.0
29-lazaro_cardenas	20190215	-0.0	420.3389306	420.3389306	-0.0
29-lazaro_cardenas	20210128	0.0	495.9373944	495.9373944	-0.0
29-lazaro_cardenas	20230215	-0.0	505.4192736	505.4192736	-0.0
48-mexicali	20160128	0.0	577.1174801	577.1174801	-0.0
48-mexicali	20190215	0.0	523.3887202000001	523.3887202	-0.0
48-mexicali	20210128	0.0	503.4482127	503.4482127	4.2632564145606e-14
48-mexicali	20230215	0.0	539.0545520999999	539.0545521	-0.0
13-nuevo_laredo	20160128	0.0	178.43435440000002	178.4343544	-0.0
13-nuevo_laredo	20190215	0.0	175.6626014	175.6626014	-0.0
13-nuevo_laredo	20210128	0.0	192.7162519	192.7162519	-0.0
13-nuevo_laredo	20230215	0.0	201.1824612	201.1824612	-0.0
22-tepic	20160128	0.0	273.5954904	273.5954904	-0.0
22-tepic	20190215	0.0	283.5101271	283.5101271	-0.0
22-tepic	20210128	0.0	334.4997655000001	334.4997655	-0.0
22-tepic	20230215	0.0	340.89510169999994	340.8951017	-0.0
03-obregon	20160128	0.0	262.7973033	262.7973033	-0.0
03-obregon	20190215	0.0	260.9831328	260.9831328	-0.0
03-obregon	20210128	0.0	286.9650095	286.9650095	-0.0
03-obregon	20230215	0.0	302.7633551	302.7633551	-0.0
14-reynosa	20160128	0.0	393.00341829999996	393.0034183	-0.0
14-reynosa	20190215	0.0	386.8986052	386.8986052	-0.0
14-reynosa	20210128	0.0	424.4594379	424.4594379	-0.0
14-reynosa	20230215	0.0	443.1063471	443.1063471	-0.0
32-poza_rica	20160128	0.0	345.4669228	345.4669228	-0.0
