generation_technology	g_max_age	g_min_build_capacity	g_scheduled_outage_rate	g_forced_outage_rate	g_is_resource_limited	g_is_variable	g_is_baseload	g_is_flexible_baseload	g_is_cogen	g_variable_o_m	g_energy_source	g_full_load_heat_rate	g_unit_size	g_ccs_capture_efficiency	g_ccs_energy_load	g_storage_efficiency	g_store_to_release_ratio	
carboelectric_coal	20	0	0.064	0.064	0	0	0	0	0	3.782	coal	8.95	.	.	.	.	.	.
gas_turbine_diesel	30	0	0.055	0.055	0	0	0	0	0	3.432	diesel	16.88	.	.	.	.	.	.
